Iteracao,Magnetizacao
0,-0.0624
1,-0.084
2,-0.1208
3,-0.1328
4,-0.1536
5,-0.1544
6,-0.1728
7,-0.188
8,-0.176
9,-0.18
10,-0.1848
11,-0.1904
12,-0.188
13,-0.2144
14,-0.2408
15,-0.2368
16,-0.2544
17,-0.264
18,-0.2664
19,-0.2688
20,-0.2808
21,-0.2904
22,-0.3
23,-0.2968
24,-0.3056
25,-0.2928
26,-0.3048
27,-0.3216
28,-0.3296
29,-0.336
30,-0.3456
31,-0.3432
32,-0.3344
33,-0.332
34,-0.3408
35,-0.3592
36,-0.3568
37,-0.3616
38,-0.3816
39,-0.3768
40,-0.3728
41,-0.3824
42,-0.3816
43,-0.3848
44,-0.3904
45,-0.4072
46,-0.4096
47,-0.4168
48,-0.4192
49,-0.4232
50,-0.4328
51,-0.4344
52,-0.44
53,-0.4552
54,-0.4704
55,-0.4688
56,-0.4784
57,-0.484
58,-0.4848
59,-0.4848
60,-0.4832
61,-0.4872
62,-0.4848
63,-0.4848
64,-0.488
65,-0.4848
66,-0.4896
67,-0.4928
68,-0.4888
69,-0.4856
70,-0.5032
71,-0.5072
72,-0.5064
73,-0.5192
74,-0.5096
75,-0.5096
76,-0.5224
77,-0.5232
78,-0.5288
79,-0.5296
80,-0.5344
81,-0.5432
82,-0.5448
83,-0.5448
84,-0.5584
85,-0.5512
86,-0.5504
87,-0.552
88,-0.5536
89,-0.56
90,-0.5536
91,-0.5528
92,-0.5536
93,-0.5496
94,-0.5432
95,-0.5392
96,-0.5448
97,-0.548
98,-0.5544
99,-0.5648
100,-0.5608
101,-0.568
102,-0.5744
103,-0.5784
104,-0.5832
105,-0.592
106,-0.5936
107,-0.596
108,-0.5944
109,-0.5944
110,-0.5928
111,-0.5952
112,-0.6096
113,-0.6104
114,-0.608
115,-0.6144
116,-0.616
117,-0.6232
118,-0.6216
119,-0.62
120,-0.6128
121,-0.6088
122,-0.6112
123,-0.616
124,-0.6216
125,-0.6216
126,-0.6208
127,-0.6264
128,-0.632
129,-0.6264
130,-0.6184
131,-0.6104
132,-0.6104
133,-0.612
134,-0.6064
135,-0.6072
136,-0.6088
137,-0.6176
138,-0.6272
139,-0.6288
140,-0.6312
141,-0.6464
142,-0.6392
143,-0.6384
144,-0.6344
145,-0.6368
146,-0.6384
147,-0.6328
148,-0.6456
149,-0.6544
150,-0.6584
151,-0.6664
152,-0.6664
153,-0.6664
154,-0.66
155,-0.6568
156,-0.6608
157,-0.6528
158,-0.6576
159,-0.6552
160,-0.6488
161,-0.6528
162,-0.6512
163,-0.6584
164,-0.668
165,-0.6664
166,-0.6672
167,-0.6728
