Iteracao,Energia
0,-0.5072
1,-0.5552
2,-0.5968
3,-0.6
4,-0.6176
5,-0.6656
6,-0.6512
7,-0.6912
8,-0.5968
9,-0.6304
10,-0.6384
11,-0.632
12,-0.6352
13,-0.6144
14,-0.608
15,-0.5856
16,-0.6128
17,-0.6384
18,-0.6448
19,-0.6208
20,-0.6272
21,-0.6672
22,-0.6496
23,-0.656
24,-0.6288
25,-0.6608
26,-0.6432
27,-0.6512
28,-0.6528
29,-0.6736
30,-0.648
31,-0.6352
32,-0.6432
33,-0.6304
34,-0.6096
35,-0.672
36,-0.6688
37,-0.6768
38,-0.6288
39,-0.6112
40,-0.6464
41,-0.632
42,-0.656
43,-0.624
44,-0.6416
45,-0.6224
46,-0.6656
47,-0.696
48,-0.6288
49,-0.6144
50,-0.6368
51,-0.6672
52,-0.6464
53,-0.6704
54,-0.6944
55,-0.6592
56,-0.7072
57,-0.6848
58,-0.656
59,-0.6592
60,-0.7088
61,-0.6496
62,-0.6336
63,-0.6256
64,-0.6576
65,-0.6192
66,-0.6336
67,-0.6992
68,-0.6432
69,-0.5968
70,-0.632
71,-0.6528
72,-0.6976
73,-0.7008
74,-0.6736
75,-0.672
76,-0.68
77,-0.5984
78,-0.6112
79,-0.6384
80,-0.6672
81,-0.6416
82,-0.6368
83,-0.656
84,-0.6896
85,-0.6064
86,-0.5968
87,-0.6528
88,-0.6416
89,-0.6192
90,-0.6032
91,-0.5664
92,-0.624
93,-0.6208
94,-0.6688
95,-0.6848
96,-0.6896
97,-0.64
98,-0.6592
99,-0.6784
100,-0.728
101,-0.6256
102,-0.6544
103,-0.6224
104,-0.624
105,-0.6624
106,-0.6864
107,-0.6688
108,-0.656
109,-0.6224
110,-0.6992
111,-0.6416
112,-0.6528
113,-0.6256
114,-0.6304
115,-0.6592
116,-0.656
117,-0.6464
118,-0.6416
119,-0.6736
120,-0.6592
121,-0.64
122,-0.6624
123,-0.6816
124,-0.6736
125,-0.6464
126,-0.6448
127,-0.6304
128,-0.6336
129,-0.632
130,-0.5984
131,-0.6192
132,-0.6512
133,-0.6672
134,-0.6816
135,-0.6416
136,-0.664
137,-0.6464
138,-0.6304
139,-0.6176
140,-0.6848
141,-0.6448
142,-0.6144
143,-0.6384
144,-0.6096
145,-0.6336
146,-0.5968
147,-0.616
148,-0.6384
149,-0.6288
150,-0.592
151,-0.6096
152,-0.6608
153,-0.664
154,-0.6576
155,-0.5888
156,-0.5488
157,-0.6
158,-0.6352
159,-0.6624
160,-0.6064
161,-0.6384
162,-0.6064
163,-0.624
164,-0.6112
165,-0.6192
166,-0.672
